instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
49,1/3/2011,1,0,1,1,0,1,1,1,8.2,8.335,44,27.9993,2
50,1/3/2011,1,0,1,4,0,1,1,1,6.56,6.82,47,26.0027,1
51,1/3/2011,1,0,1,5,0,1,1,1,6.56,6.82,47,19.0012,3
52,1/3/2011,1,0,1,6,0,1,1,1,5.74,5.305,50,26.0027,30
53,1/3/2011,1,0,1,7,0,1,1,1,5.74,6.82,50,12.998,64
54,1/3/2011,1,0,1,8,0,1,1,1,5.74,6.06,50,19.0012,154
55,1/3/2011,1,0,1,9,0,1,1,1,6.56,6.82,43,26.0027,88
56,1/3/2011,1,0,1,10,0,1,1,1,7.38,8.335,43,16.9979,44
57,1/3/2011,1,0,1,11,0,1,1,1,8.2,9.09,40,22.0028,51
58,1/3/2011,1,0,1,12,0,1,1,1,9.02,10.605,35,19.9995,61
59,1/3/2011,1,0,1,13,0,1,1,1,9.84,10.605,35,19.0012,61
60,1/3/2011,1,0,1,14,0,1,1,1,10.66,12.12,30,19.0012,77
61,1/3/2011,1,0,1,15,0,1,1,1,10.66,12.12,30,16.9979,72
62,1/3/2011,1,0,1,16,0,1,1,1,10.66,12.12,30,16.9979,76
63,1/3/2011,1,0,1,17,0,1,1,1,9.84,11.365,30,15.0013,157
64,1/3/2011,1,0,1,18,0,1,1,1,9.84,12.88,32,7.0015,157
65,1/3/2011,1,0,1,19,0,1,1,1,8.2,12.88,47,0,110
66,1/3/2011,1,0,1,20,0,1,1,1,8.2,11.365,47,7.0015,52
67,1/3/2011,1,0,1,21,0,1,1,1,7.38,9.85,64,8.9981,52
68,1/3/2011,1,0,1,22,0,1,1,1,5.74,7.575,69,8.9981,20
69,1/3/2011,1,0,1,23,0,1,1,1,7.38,10.605,55,7.0015,12
70,1/4/2011,1,0,1,0,0,2,1,1,6.56,9.09,55,7.0015,5
71,1/4/2011,1,0,1,1,0,2,1,1,6.56,9.09,59,7.0015,2
72,1/4/2011,1,0,1,2,0,2,1,1,5.74,7.575,63,8.9981,1
73,1/4/2011,1,0,1,4,0,2,1,1,5.74,9.09,63,6.0032,2
74,1/4/2011,1,0,1,5,0,2,1,1,4.92,7.575,68,7.0015,4
75,1/4/2011,1,0,1,6,0,2,1,1,4.92,7.575,74,7.0015,36
76,1/4/2011,1,0,1,7,0,2,1,1,4.92,7.575,74,8.9981,94
77,1/4/2011,1,0,1,8,0,2,1,1,5.74,7.575,69,11.0014,179
78,1/4/2011,1,0,1,9,0,2,1,1,6.56,7.575,64,15.0013,100
79,1/4/2011,1,0,1,10,0,2,1,2,6.56,6.82,69,22.0028,42
80,1/4/2011,1,0,1,11,0,2,1,1,9.02,10.605,51,19.9995,57
81,1/4/2011,1,0,1,12,0,2,1,1,9.02,11.365,51,11.0014,78
82,1/4/2011,1,0,1,13,0,2,1,1,9.84,11.365,56,12.998,97
83,1/4/2011,1,0,1,14,0,2,1,1,10.66,12.88,52,15.0013,63
84,1/4/2011,1,0,1,15,0,2,1,1,11.48,13.635,52,16.9979,65
85,1/4/2011,1,0,1,16,0,2,1,1,12.3,14.395,49,16.9979,83
86,1/4/2011,1,0,1,17,0,2,1,1,11.48,13.635,48,15.0013,212
87,1/4/2011,1,0,1,18,0,2,1,1,10.66,12.88,48,12.998,182
88,1/4/2011,1,0,1,19,0,2,1,1,9.84,12.88,48,7.0015,112
89,1/4/2011,1,0,1,20,0,2,1,1,9.84,12.88,48,7.0015,54
90,1/4/2011,1,0,1,21,0,2,1,1,9.02,13.635,64,0,48
91,1/4/2011,1,0,1,22,0,2,1,1,9.02,12.88,64,6.0032,35
92,1/4/2011,1,0,1,23,0,2,1,1,8.2,11.365,69,6.0032,11
93,1/5/2011,1,0,1,0,0,3,1,1,8.2,12.88,64,0,6
94,1/5/2011,1,0,1,1,0,3,1,1,6.56,9.85,74,6.0032,6
95,1/5/2011,1,0,1,2,0,3,1,1,6.56,9.85,74,6.0032,2
96,1/5/2011,1,0,1,4,0,3,1,1,9.84,11.365,48,15.0013,2
97,1/5/2011,1,0,1,5,0,3,1,1,9.02,11.365,47,11.0014,3
98,1/5/2011,1,0,1,6,0,3,1,1,8.2,9.85,47,15.0013,33
99,1/5/2011,1,0,1,7,0,3,1,1,7.38,9.09,43,12.998,88
100,1/5/2011,1,0,1,8,0,3,1,1,8.2,9.09,40,19.9995,195
101,1/5/2011,1,0,1,9,0,3,1,1,9.02,9.85,37,22.0028,115
102,1/5/2011,1,0,1,10,0,3,1,1,9.02,9.85,37,22.0028,57
103,1/5/2011,1,0,1,11,0,3,1,1,10.66,11.365,33,22.0028,46
104,1/5/2011,1,0,1,12,0,3,1,1,10.66,11.365,33,22.0028,79
105,1/5/2011,1,0,1,13,0,3,1,1,11.48,12.88,30,19.9995,71
106,1/5/2011,1,0,1,14,0,3,1,1,12.3,14.395,28,12.998,62
107,1/5/2011,1,0,1,15,0,3,1,1,12.3,14.395,28,12.998,62
108,1/5/2011,1,0,1,16,0,3,1,1,12.3,15.91,28,6.0032,89
109,1/5/2011,1,0,1,17,0,3,1,1,9.84,11.365,38,12.998,190
110,1/5/2011,1,0,1,18,0,3,1,1,9.84,12.12,38,8.9981,169
111,1/5/2011,1,0,1,19,0,3,1,1,9.84,12.88,38,7.0015,132
112,1/5/2011,1,0,1,20,0,3,1,1,9.02,11.365,47,11.0014,89
113,1/5/2011,1,0,1,21,0,3,1,1,8.2,9.85,51,12.998,43
114,1/5/2011,1,0,1,22,0,3,1,1,7.38,9.85,55,8.9981,42
115,1/5/2011,1,0,1,23,0,3,1,1,8.2,12.88,47,0,19
116,1/6/2011,1,0,1,0,0,4,1,1,7.38,12.12,55,0,11
117,1/6/2011,1,0,1,1,0,4,1,1,6.56,11.365,64,0,4
118,1/6/2011,1,0,1,2,0,4,1,1,6.56,11.365,64,0,2
119,1/6/2011,1,0,1,4,0,4,1,2,6.56,9.85,64,6.0032,1
120,1/6/2011,1,0,1,5,0,4,1,2,5.74,9.09,69,6.0032,4
121,1/6/2011,1,0,1,6,0,4,1,2,5.74,8.335,63,7.0015,36
122,1/6/2011,1,0,1,7,0,4,1,2,6.56,11.365,59,0,95
123,1/6/2011,1,0,1,8,0,4,1,1,6.56,11.365,59,0,219
124,1/6/2011,1,0,1,9,0,4,1,2,7.38,12.12,51,0,122
125,1/6/2011,1,0,1,10,0,4,1,1,8.2,12.88,47,0,45
126,1/6/2011,1,0,1,11,0,4,1,1,9.02,12.88,44,6.0032,59
127,1/6/2011,1,0,1,12,0,4,1,1,10.66,14.395,35,0,84
128,1/6/2011,1,0,1,13,0,4,1,1,10.66,13.635,35,7.0015,67
129,1/6/2011,1,0,1,14,0,4,1,1,11.48,13.635,36,11.0014,70
130,1/6/2011,1,0,1,15,0,4,1,1,11.48,13.635,36,0,62
131,1/6/2011,1,0,1,16,0,4,1,1,10.66,12.88,38,11.0014,86
132,1/6/2011,1,0,1,17,0,4,1,1,9.02,11.365,51,11.0014,172
133,1/6/2011,1,0,1,18,0,4,1,1,9.02,11.365,51,8.9981,163
134,1/6/2011,1,0,1,19,0,4,1,1,9.02,12.88,55,6.0032,112
135,1/6/2011,1,0,1,20,0,4,1,1,8.2,10.605,51,11.0014,69
136,1/6/2011,1,0,1,21,0,4,1,2,9.02,10.605,55,15.0013,48
137,1/6/2011,1,0,1,22,0,4,1,2,9.02,10.605,51,19.0012,52
138,1/6/2011,1,0,1,23,0,4,1,2,8.2,9.85,59,12.998,23
139,1/7/2011,1,0,1,0,0,5,1,2,8.2,9.85,64,12.998,17
140,1/7/2011,1,0,1,1,0,5,1,2,8.2,9.85,69,15.0013,7
141,1/7/2011,1,0,1,2,0,5,1,2,8.2,9.85,69,15.0013,1
142,1/7/2011,1,0,1,4,0,5,1,2,8.2,10.605,69,8.9981,1
143,1/7/2011,1,0,1,5,0,5,1,3,9.02,13.635,55,0,5
144,1/7/2011,1,0,1,6,0,5,1,2,8.2,12.88,69,0,34
145,1/7/2011,1,0,1,7,0,5,1,1,8.2,10.605,69,8.9981,84
146,1/7/2011,1,0,1,8,0,5,1,1,8.2,9.85,51,16.9979,210
147,1/7/2011,1,0,1,9,0,5,1,1,8.2,9.09,47,19.9995,134
148,1/7/2011,1,0,1,10,0,5,1,1,9.02,9.85,37,22.0028,63
149,1/7/2011,1,0,1,11,0,5,1,2,8.2,9.85,40,15.0013,67
150,1/7/2011,1,0,1,12,0,5,1,2,8.2,9.85,37,16.9979,59
151,1/7/2011,1,0,1,13,0,5,1,2,8.2,9.09,37,19.0012,73
152,1/7/2011,1,0,1,14,0,5,1,2,8.2,9.85,40,16.9979,50
153,1/7/2011,1,0,1,15,0,5,1,2,8.2,10.605,37,11.0014,72
154,1/7/2011,1,0,1,16,0,5,1,2,8.2,10.605,37,11.0014,87
155,1/7/2011,1,0,1,17,0,5,1,2,8.2,12.88,37,0,187
156,1/7/2011,1,0,1,18,0,5,1,1,8.2,11.365,40,6.0032,123
157,1/7/2011,1,0,1,19,0,5,1,1,6.56,9.85,55,6.0032,95
158,1/7/2011,1,0,1,20,0,5,1,1,7.38,10.605,47,7.0015,51
159,1/7/2011,1,0,1,21,0,5,1,1,7.38,9.85,47,8.9981,39
160,1/7/2011,1,0,1,22,0,5,1,2,7.38,9.85,43,11.0014,36
161,1/7/2011,1,0,1,23,0,5,1,2,7.38,9.85,51,11.0014,15
162,1/8/2011,1,0,1,0,0,6,0,2,7.38,9.85,51,11.0014,25
163,1/8/2011,1,0,1,1,0,6,0,2,7.38,10.605,55,6.0032,16
164,1/8/2011,1,0,1,2,0,6,0,2,7.38,12.12,55,0,16
165,1/8/2011,1,0,1,3,0,6,0,3,7.38,9.85,55,11.0014,7
166,1/8/2011,1,0,1,4,0,6,0,3,7.38,9.85,55,11.0014,1
167,1/8/2011,1,0,1,5,0,6,0,2,6.56,8.335,74,11.0014,5
168,1/8/2011,1,0,1,6,0,6,0,2,6.56,8.335,74,11.0014,2
169,1/8/2011,1,0,1,7,0,6,0,2,6.56,9.09,74,7.0015,9
170,1/8/2011,1,0,1,8,0,6,0,3,6.56,9.09,93,7.0015,15
171,1/8/2011,1,0,1,9,0,6,0,3,6.56,9.09,93,7.0015,20
172,1/8/2011,1,0,1,10,0,6,0,2,7.38,9.85,80,11.0014,61
173,1/8/2011,1,0,1,11,0,6,0,2,8.2,9.09,69,26.0027,62
174,1/8/2011,1,0,1,12,0,6,0,2,8.2,9.09,59,23.9994,98
175,1/8/2011,1,0,1,13,0,6,0,1,8.2,9.09,44,22.0028,102
176,1/8/2011,1,0,1,14,0,6,0,1,8.2,8.335,32,32.9975,95
177,1/8/2011,1,0,1,15,0,6,0,1,8.2,8.335,32,30.0026,74
178,1/8/2011,1,0,1,16,0,6,0,1,7.38,6.82,29,30.0026,76
179,1/8/2011,1,0,1,17,0,6,0,1,6.56,6.06,37,36.9974,69
180,1/8/2011,1,0,1,18,0,6,0,1,5.74,6.06,39,19.9995,55
181,1/8/2011,1,0,1,19,0,6,0,1,5.74,6.06,36,16.9979,30
182,1/8/2011,1,0,1,20,0,6,0,1,4.92,6.06,36,16.9979,28
183,1/8/2011,1,0,1,21,0,6,0,1,4.92,5.305,39,23.9994,37
184,1/8/2011,1,0,1,22,0,6,0,1,4.92,5.305,36,26.0027,34
185,1/8/2011,1,0,1,23,0,6,0,1,4.1,3.03,39,30.0026,22
186,1/9/2011,1,0,1,0,0,0,0,1,4.1,3.79,42,26.0027,25
187,1/9/2011,1,0,1,1,0,0,0,1,4.1,3.03,42,31.0009,12
188,1/9/2011,1,0,1,2,0,0,0,1,4.1,3.03,46,31.0009,11
189,1/9/2011,1,0,1,3,0,0,0,1,4.1,3.79,46,27.9993,4
190,1/9/2011,1,0,1,4,0,0,0,1,3.28,4.545,53,12.998,1
191,1/9/2011,1,0,1,5,0,0,0,1,3.28,4.545,53,12.998,1
192,1/9/2011,1,0,1,6,0,0,0,1,4.1,4.545,49,19.0012,1
193,1/9/2011,1,0,1,7,0,0,0,1,3.28,4.545,53,12.998,6
194,1/9/2011,1,0,1,8,0,0,0,1,4.1,4.545,49,19.0012,10
195,1/9/2011,1,0,1,9,0,0,0,1,4.92,3.79,46,35.0008,19
196,1/9/2011,1,0,1,10,0,0,0,1,5.74,5.305,43,26.0027,49
197,1/9/2011,1,0,1,11,0,0,0,1,6.56,6.06,40,35.0008,49
198,1/9/2011,1,0,1,12,0,0,0,1,7.38,6.82,37,30.0026,83
199,1/9/2011,1,0,1,13,0,0,0,1,8.2,8.335,34,30.0026,75
200,1/9/2011,1,0,1,14,0,0,0,1,9.02,9.09,32,31.0009,72
201,1/9/2011,1,0,1,15,0,0,0,1,9.02,9.85,35,23.9994,82
202,1/9/2011,1,0,1,16,0,0,0,1,8.2,8.335,34,30.0026,92
203,1/9/2011,1,0,1,17,0,0,0,1,7.38,7.575,37,26.0027,62
204,1/9/2011,1,0,1,18,0,0,0,1,6.56,6.82,40,22.0028,48
205,1/9/2011,1,0,1,19,0,0,0,1,6.56,6.82,43,22.0028,41
206,1/9/2011,1,0,1,20,0,0,0,1,5.74,6.06,46,16.9979,38
207,1/9/2011,1,0,1,21,0,0,0,1,5.74,5.305,46,27.9993,20
208,1/9/2011,1,0,1,22,0,0,0,1,5.74,6.06,46,19.9995,15
209,1/9/2011,1,0,1,23,0,0,0,1,4.92,6.82,50,12.998,6
210,1/10/2011,1,0,1,0,0,1,1,1,4.92,6.06,50,19.0012,5
211,1/10/2011,1,0,1,1,0,1,1,1,4.92,6.06,50,19.0012,1
212,1/10/2011,1,0,1,2,0,1,1,1,4.92,6.06,50,15.0013,3
213,1/10/2011,1,0,1,3,0,1,1,1,4.92,6.06,50,15.0013,1
214,1/10/2011,1,0,1,4,0,1,1,1,4.1,6.06,54,8.9981,3
215,1/10/2011,1,0,1,5,0,1,1,1,4.1,5.305,54,16.9979,3
216,1/10/2011,1,0,1,6,0,1,1,1,4.92,6.06,50,19.0012,31
217,1/10/2011,1,0,1,7,0,1,1,1,4.92,6.06,50,15.0013,77
218,1/10/2011,1,0,1,8,0,1,1,2,4.92,6.06,50,19.0012,188
219,1/10/2011,1,0,1,9,0,1,1,2,5.74,6.06,50,16.9979,94
220,1/10/2011,1,0,1,10,0,1,1,2,5.74,6.06,50,19.9995,31
221,1/10/2011,1,0,1,11,0,1,1,2,6.56,6.82,47,19.0012,30
222,1/10/2011,1,0,1,12,0,1,1,2,8.2,9.09,40,19.0012,52
223,1/10/2011,1,0,1,13,0,1,1,2,8.2,9.09,40,19.0012,54
224,1/10/2011,1,0,1,14,0,1,1,2,8.2,9.85,40,15.0013,47
225,1/10/2011,1,0,1,15,0,1,1,2,8.2,9.85,40,15.0013,45
226,1/10/2011,1,0,1,16,0,1,1,1,8.2,10.605,40,8.9981,74
227,1/10/2011,1,0,1,17,0,1,1,1,8.2,11.365,40,7.0015,178
228,1/10/2011,1,0,1,18,0,1,1,1,8.2,9.85,40,15.0013,155
229,1/10/2011,1,0,1,19,0,1,1,1,6.56,8.335,47,11.0014,95
230,1/10/2011,1,0,1,20,0,1,1,1,6.56,8.335,50,11.0014,74
231,1/10/2011,1,0,1,21,0,1,1,1,5.74,6.82,59,12.998,38
232,1/10/2011,1,0,1,22,0,1,1,1,5.74,7.575,59,11.0014,24
233,1/10/2011,1,0,1,23,0,1,1,1,5.74,7.575,59,11.0014,18
234,1/11/2011,1,0,1,0,0,2,1,1,5.74,8.335,59,7.0015,12
235,1/11/2011,1,0,1,1,0,2,1,1,5.74,7.575,59,11.0014,3
236,1/11/2011,1,0,1,2,0,2,1,2,6.56,7.575,55,12.998,3
237,1/11/2011,1,0,1,5,0,2,1,2,6.56,9.09,55,8.9981,6
238,1/11/2011,1,0,1,6,0,2,1,2,6.56,9.09,55,8.9981,27
239,1/11/2011,1,0,1,7,0,2,1,2,6.56,11.365,55,0,99
240,1/11/2011,1,0,1,8,0,2,1,2,7.38,10.605,51,6.0032,217
241,1/11/2011,1,0,1,9,0,2,1,2,7.38,9.85,51,11.0014,130
242,1/11/2011,1,0,1,10,0,2,1,2,8.2,10.605,51,11.0014,54
243,1/11/2011,1,0,1,11,0,2,1,2,8.2,10.605,47,8.9981,35
244,1/11/2011,1,0,1,12,0,2,1,2,8.2,11.365,51,7.0015,57
245,1/11/2011,1,0,1,13,0,2,1,2,8.2,11.365,59,6.0032,52
246,1/11/2011,1,0,1,14,0,2,1,2,8.2,11.365,59,6.0032,63
247,1/11/2011,1,0,1,15,0,2,1,2,6.56,9.85,80,6.0032,47
248,1/11/2011,1,0,1,16,0,2,1,2,6.56,7.575,86,15.0013,76
249,1/11/2011,1,0,1,17,0,2,1,2,6.56,7.575,86,15.0013,136
250,1/11/2011,1,0,1,18,0,2,1,3,6.56,9.09,93,7.0015,95
251,1/11/2011,1,0,1,19,0,2,1,3,6.56,11.365,93,0,51
252,1/11/2011,1,0,1,20,0,2,1,3,6.56,7.575,93,12.998,32
253,1/11/2011,1,0,1,21,0,2,1,3,6.56,9.85,86,6.0032,20
254,1/11/2011,1,0,1,22,0,2,1,3,6.56,9.09,93,7.0015,29
255,1/11/2011,1,0,1,23,0,2,1,3,6.56,9.85,93,6.0032,19
256,1/12/2011,1,0,1,0,0,3,1,2,6.56,9.85,86,6.0032,7
257,1/12/2011,1,0,1,1,0,3,1,2,6.56,9.09,86,7.0015,6
258,1/12/2011,1,0,1,2,0,3,1,1,5.74,7.575,86,8.9981,1
259,1/12/2011,1,0,1,5,0,3,1,1,5.74,7.575,86,11.0014,5
260,1/12/2011,1,0,1,6,0,3,1,1,4.92,7.575,93,8.9981,16
261,1/12/2011,1,0,1,7,0,3,1,1,5.74,7.575,69,8.9981,54
262,1/12/2011,1,0,1,8,0,3,1,1,6.56,8.335,59,11.0014,128
263,1/12/2011,1,0,1,9,0,3,1,1,6.56,6.82,59,22.0028,81
264,1/12/2011,1,0,1,10,0,3,1,1,7.38,9.09,55,15.0013,39
265,1/12/2011,1,0,1,11,0,3,1,1,8.2,9.09,51,26.0027,35
266,1/12/2011,1,0,1,12,0,3,1,1,8.2,7.575,47,39.0007,55
267,1/12/2011,1,0,1,13,0,3,1,1,9.02,9.85,44,23.9994,49
268,1/12/2011,1,0,1,14,0,3,1,1,8.2,9.09,47,22.0028,44
269,1/12/2011,1,0,1,15,0,3,1,1,8.2,8.335,47,27.9993,49
270,1/12/2011,1,0,1,16,0,3,1,1,9.02,9.85,44,22.0028,68
271,1/12/2011,1,0,1,17,0,3,1,1,8.2,9.09,47,23.9994,139
272,1/12/2011,1,0,1,18,0,3,1,1,8.2,7.575,47,35.0008,137
273,1/12/2011,1,0,1,19,0,3,1,1,7.38,7.575,47,27.9993,83
274,1/12/2011,1,0,1,20,0,3,1,1,6.56,6.82,50,22.0028,56
275,1/12/2011,1,0,1,21,0,3,1,1,6.56,6.82,55,22.0028,57
276,1/12/2011,1,0,1,22,0,3,1,1,6.56,6.06,55,30.0026,33
277,1/12/2011,1,0,1,23,0,3,1,1,5.74,5.305,59,27.9993,20
278,1/13/2011,1,0,1,0,0,4,1,1,5.74,6.06,59,19.0012,7
279,1/13/2011,1,0,1,1,0,4,1,1,5.74,6.06,50,19.0012,2
280,1/13/2011,1,0,1,2,0,4,1,1,5.74,6.06,50,23.9994,2
281,1/13/2011,1,0,1,3,0,4,1,1,5.74,6.06,50,22.0028,3
282,1/13/2011,1,0,1,4,0,4,1,1,5.74,6.06,50,16.9979,4
283,1/13/2011,1,0,1,5,0,4,1,1,5.74,6.06,50,19.9995,3
284,1/13/2011,1,0,1,6,0,4,1,1,4.92,7.575,54,8.9981,28
285,1/13/2011,1,0,1,7,0,4,1,1,4.92,7.575,54,8.9981,72
286,1/13/2011,1,0,1,8,0,4,1,1,5.74,6.82,50,12.998,202
287,1/13/2011,1,0,1,9,0,4,1,1,5.74,6.06,50,22.0028,139
288,1/13/2011,1,0,1,10,0,4,1,2,6.56,6.82,50,23.9994,38
289,1/13/2011,1,0,1,11,0,4,1,2,8.2,8.335,44,30.0026,37
290,1/13/2011,1,0,1,12,0,4,1,1,8.2,8.335,44,27.9993,52
291,1/13/2011,1,0,1,13,0,4,1,1,9.02,9.85,41,30.0026,83
292,1/13/2011,1,0,1,14,0,4,1,1,9.02,9.85,41,26.0027,42
293,1/13/2011,1,0,1,15,0,4,1,1,9.84,10.605,38,19.9995,60
294,1/13/2011,1,0,1,16,0,4,1,1,9.84,10.605,38,23.9994,78
295,1/13/2011,1,0,1,17,0,4,1,1,8.2,9.09,40,19.0012,162
296,1/13/2011,1,0,1,18,0,4,1,1,8.2,9.09,40,22.0028,144
297,1/13/2011,1,0,1,19,0,4,1,1,6.56,7.575,47,16.9979,99
298,1/13/2011,1,0,1,20,0,4,1,1,6.56,7.575,47,15.0013,64
299,1/13/2011,1,0,1,21,0,4,1,1,5.74,6.06,46,19.9995,40
300,1/13/2011,1,0,1,22,0,4,1,1,5.74,6.06,46,22.0028,30
301,1/13/2011,1,0,1,23,0,4,1,1,4.92,6.82,50,12.998,15
302,1/14/2011,1,0,1,0,0,5,1,1,4.92,6.82,50,12.998,14
303,1/14/2011,1,0,1,1,0,5,1,1,4.1,6.06,54,11.0014,5
304,1/14/2011,1,0,1,2,0,5,1,1,4.1,6.06,54,8.9981,1
305,1/14/2011,1,0,1,3,0,5,1,1,4.1,6.82,54,7.0015,1
306,1/14/2011,1,0,1,5,0,5,1,1,4.1,6.82,54,6.0032,8
307,1/14/2011,1,0,1,6,0,5,1,1,4.1,9.09,54,0,17
308,1/14/2011,1,0,1,7,0,5,1,1,4.1,6.06,74,11.0014,70
309,1/14/2011,1,0,1,8,0,5,1,1,4.92,8.335,68,0,158
310,1/14/2011,1,0,1,9,0,5,1,1,5.74,7.575,69,8.9981,117
311,1/14/2011,1,0,1,10,0,5,1,1,7.38,9.09,55,12.998,44
312,1/14/2011,1,0,1,11,0,5,1,1,7.38,8.335,51,19.0012,53
313,1/14/2011,1,0,1,12,0,5,1,1,8.2,9.85,44,16.9979,61
314,1/14/2011,1,0,1,13,0,5,1,1,9.02,9.85,37,26.0027,77
315,1/14/2011,1,0,1,14,0,5,1,1,9.02,10.605,41,19.0012,64
316,1/14/2011,1,0,1,15,0,5,1,1,9.84,12.12,38,11.0014,68
317,1/14/2011,1,0,1,16,0,5,1,1,9.02,12.12,41,7.0015,90
318,1/14/2011,1,0,1,17,0,5,1,1,9.02,11.365,41,11.0014,159
319,1/14/2011,1,0,1,18,0,5,1,1,8.2,12.88,47,0,139
320,1/14/2011,1,0,1,19,0,5,1,1,6.56,9.85,59,6.0032,92
321,1/14/2011,1,0,1,20,0,5,1,1,7.38,12.12,59,0,68
322,1/14/2011,1,0,1,21,0,5,1,1,6.56,11.365,69,0,52
323,1/14/2011,1,0,1,22,0,5,1,2,6.56,11.365,69,0,36
324,1/14/2011,1,0,1,23,0,5,1,2,7.38,12.12,55,0,27
325,1/15/2011,1,0,1,0,0,6,0,1,7.38,12.12,55,0,28
326,1/15/2011,1,0,1,1,0,6,0,2,6.56,9.85,59,6.0032,20
327,1/15/2011,1,0,1,2,0,6,0,2,6.56,9.85,59,6.0032,12
328,1/15/2011,1,0,1,3,0,6,0,2,6.56,11.365,59,0,8
329,1/15/2011,1,0,1,4,0,6,0,2,6.56,11.365,59,0,5
330,1/15/2011,1,0,1,5,0,6,0,1,6.56,11.365,59,0,1
331,1/15/2011,1,0,1,6,0,6,0,1,5.74,8.335,63,7.0015,3
332,1/15/2011,1,0,1,7,0,6,0,1,5.74,10.605,63,0,10
333,1/15/2011,1,0,1,8,0,6,0,1,5.74,7.575,63,8.9981,23
334,1/15/2011,1,0,1,9,0,6,0,1,6.56,9.09,64,8.9981,33
